slide_num,positive,negative,total,select_prop
A1039,4049.0,14720.0,18769.0,0.21572806223027333
A1134,3469.0,14004.0,17473.0,0.1985348823899731
A826,1063.0,19547.0,20610.0,0.051576904415332366
A492,5638.0,17256.0,22894.0,0.2462653970472613
A506,3586.0,5079.0,8665.0,0.4138488170802077
A136,1722.0,5809.0,7531.0,0.22865489310848494
A1033,1341.0,18458.0,19799.0,0.06773069346936714
A1149,2465.0,18509.0,20974.0,0.11752646133307905
A401,2647.0,10738.0,13385.0,0.19775868509525588
A476,3559.0,13874.0,17433.0,0.20415304307921758
A25,1113.0,6524.0,7637.0,0.1457378551787351
A345,1656.0,17540.0,19196.0,0.08626797249426964
A332,2004.0,18894.0,20898.0,0.09589434395635946
A605,1480.0,15672.0,17152.0,0.08628731343283583
A791,2330.0,15014.0,17344.0,0.13434040590405905
A338,1533.0,14075.0,15608.0,0.09821886212198873
A235,5305.0,14410.0,19715.0,0.2690844534618311
A242,2544.0,9209.0,11753.0,0.21645537309623075
A173,688.0,19333.0,20021.0,0.03436391788621947
A439,6380.0,19040.0,25420.0,0.25098347757671124
A814,3419.0,21185.0,24604.0,0.13896114452934483
A534,6258.0,13087.0,19345.0,0.3234944430085293
A1092,5052.0,15065.0,20117.0,0.2511308843266889
A444,5749.0,13260.0,19009.0,0.30243568835814616
A869,2143.0,15179.0,17322.0,0.12371550629257591
A549,1789.0,18280.0,20069.0,0.0891424585181125
A60,3466.0,17821.0,21287.0,0.16282237985625028
A964,1591.0,17907.0,19498.0,0.0815981126269361
A1076,1961.0,13793.0,15754.0,0.12447632347340358
A1001,1457.0,19494.0,20951.0,0.06954321989403847
A1098,793.0,20627.0,21420.0,0.037021475256769375
A197,2447.0,5254.0,7701.0,0.3177509414361771
A377,3654.0,15029.0,18683.0,0.1955788684900712
A207,3888.0,14118.0,18006.0,0.21592802399200267
A393,3941.0,14795.0,18736.0,0.21034372331340734
A1308,1289.0,5180.0,6469.0,0.19925799969083322
A640,3712.0,13662.0,17374.0,0.2136525843213998
A637,5479.0,18538.0,24017.0,0.22813007453054088
A1057,2244.0,12707.0,14951.0,0.1500902949635476
A568,5077.0,17147.0,22224.0,0.22844672426205903
A412,1603.0,16865.0,18468.0,0.08679878709118476
A848,2174.0,11714.0,13888.0,0.15653801843317972
A465,3208.0,6136.0,9344.0,0.3433219178082192
A158,2572.0,15906.0,18478.0,0.1391925533066349
A152,6162.0,12595.0,18757.0,0.32851735352135203
A1150,5280.0,14320.0,19600.0,0.2693877551020408
A1127,1355.0,15273.0,16628.0,0.08148905460668751
A938,559.0,13596.0,14155.0,0.03949134581419993
A782,763.0,19682.0,20445.0,0.037319638053313765
A788,1527.0,12765.0,14292.0,0.10684298908480269
A1259,5245.0,8291.0,13536.0,0.3874852245862884
A977,1642.0,15798.0,17440.0,0.09415137614678899
A457,2710.0,13271.0,15981.0,0.16957637194168074
A999,1410.0,20091.0,21501.0,0.06557834519324683
A420,5671.0,8033.0,13704.0,0.41382078225335667
A1065,494.0,17106.0,17600.0,0.02806818181818182
A527,3707.0,12606.0,16313.0,0.227242076871207
A550,685.0,16850.0,17535.0,0.039064727687482176
A993,1397.0,8259.0,9656.0,0.14467688483844243
A1115,4271.0,17029.0,21300.0,0.20051643192488264
A160,8620.0,14201.0,22821.0,0.37772227334472636
A624,3220.0,18194.0,21414.0,0.15036891753058745
A729,672.0,17364.0,18036.0,0.037258815701929474
A380,6136.0,10947.0,17083.0,0.359187496341392
A319,1513.0,16788.0,18301.0,0.08267307797388121
A364,1335.0,16020.0,17355.0,0.07692307692307693
A723,4512.0,13888.0,18400.0,0.24521739130434783
A759,665.0,6509.0,7174.0,0.09269584611095623
A623,4066.0,19904.0,23970.0,0.16962870254484771
A654,3045.0,22599.0,25644.0,0.11874122601778193
A369,12135.0,12458.0,24593.0,0.49343309071687064
A387,3724.0,16830.0,20554.0,0.18118127858324415
A363,2053.0,14079.0,16132.0,0.12726258368460203
A314,1731.0,8093.0,9824.0,0.1762011400651466
A280,2530.0,17905.0,20435.0,0.12380719354049426
A219,5053.0,12811.0,17864.0,0.28285938199731303
A724,459.0,21711.0,22170.0,0.020703653585926927
A427,1339.0,14917.0,16256.0,0.08236958661417323
A450,3301.0,16675.0,19976.0,0.16524829795754906
A970,5398.0,10792.0,16190.0,0.3334156886967264
A907,5955.0,8929.0,14884.0,0.40009406073636117
A800,3207.0,10355.0,13562.0,0.23646954726441527
A994,1592.0,17499.0,19091.0,0.08339007909486146
A1068,1820.0,11263.0,13083.0,0.13911182450508294
A1165,943.0,6726.0,7669.0,0.12296257660711957
A1112,1137.0,22455.0,23592.0,0.048194303153611395
A1086,2126.0,17376.0,19502.0,0.10901446005537893
A167,7582.0,15962.0,23544.0,0.322035338090384
A666,1004.0,18573.0,19577.0,0.051284670787148184
A716,1911.0,19755.0,21666.0,0.08820271392965938
A761,3775.0,20064.0,23839.0,0.1583539578002433
A326,1379.0,5561.0,6940.0,0.19870317002881843
A1027,659.0,1554.0,2213.0,0.29778581111613195
A462,1341.0,16477.0,17818.0,0.07526097205073522
A838,3126.0,16785.0,19911.0,0.15699864396564714
A581,145.0,11011.0,11156.0,0.012997490139835066
A415,2071.0,6782.0,8853.0,0.23393200045182425
A518,6641.0,13901.0,20542.0,0.3232888715801772
A942,442.0,18993.0,19435.0,0.02274247491638796
A1157,1277.0,16527.0,17804.0,0.07172545495394293
A832,2417.0,20231.0,22648.0,0.10672024019780996
A512,2127.0,13865.0,15992.0,0.1330040020010005
A948,1977.0,17508.0,19485.0,0.10146266358737491
A486,2612.0,5403.0,8015.0,0.32588895820336866
A740,3602.0,5076.0,8678.0,0.4150725973726665
A370,3912.0,20096.0,24008.0,0.16294568477174276
A200,1316.0,22694.0,24010.0,0.05481049562682216
A299,305.0,7724.0,8029.0,0.03798729605181218
A630,5124.0,15827.0,20951.0,0.24457066488473103
A647,1221.0,23349.0,24570.0,0.04969474969474969
A174,1697.0,13883.0,15580.0,0.1089216944801027
A103,6032.0,20959.0,26991.0,0.22348190137453225
A544,2440.0,4599.0,7039.0,0.3466401477482597
A533,3323.0,15177.0,18500.0,0.17962162162162162
A813,3747.0,17160.0,20907.0,0.17922227005309227
A449,6760.0,11849.0,18609.0,0.36326508678596375
A1101,719.0,5726.0,6445.0,0.11155934833204034
A1095,2344.0,19300.0,21644.0,0.10829791166143042
A539,3166.0,17857.0,21023.0,0.1505969652285592
A914,2533.0,19171.0,21704.0,0.11670659786214523
A819,2647.0,15264.0,17911.0,0.14778627658980514
A443,2600.0,13552.0,16152.0,0.16097077761267956
A109,1700.0,20439.0,22139.0,0.0767875694475812
A238,6216.0,7662.0,13878.0,0.4479031560743623
A335,4516.0,16463.0,20979.0,0.2152628819295486
A342,3676.0,14744.0,18420.0,0.1995656894679696
A796,1254.0,12757.0,14011.0,0.08950110627364213
A232,3345.0,7692.0,11037.0,0.30307148681706986
A348,1335.0,11401.0,12736.0,0.10482097989949749
A1133,2541.0,16976.0,19517.0,0.1301941896807911
A1144,952.0,15722.0,16674.0,0.05709487825356843
A1049,4731.0,13953.0,18684.0,0.2532113037893385
A28,2067.0,8229.0,10296.0,0.20075757575757575
A598,4142.0,16558.0,20700.0,0.20009661835748793
A821,2780.0,17051.0,19831.0,0.1401845595280117
A131,6575.0,6375.0,12950.0,0.5077220077220077
A146,11881.0,14897.0,26778.0,0.44368511464635146
A1043,837.0,22431.0,23268.0,0.03597215059308922
A1034,1411.0,9631.0,11042.0,0.12778482159029161
A22,2837.0,19870.0,22707.0,0.12493944598581935
A471,1962.0,14040.0,16002.0,0.12260967379077616
A592,2152.0,13468.0,15620.0,0.1377720870678617
A406,3923.0,12486.0,16409.0,0.23907611676518983
A241,2403.0,3581.0,5984.0,0.40157085561497324
A606,3504.0,14387.0,17891.0,0.19585266335028786
A792,1066.0,7980.0,9046.0,0.11784214017245191
A776,2693.0,6278.0,8971.0,0.3001894994983837
A798,928.0,6286.0,7214.0,0.1286387579706127
A331,1734.0,14601.0,16335.0,0.1061524334251607
A475,1865.0,10946.0,12811.0,0.1455780188900164
A402,5386.0,8770.0,14156.0,0.38047471037016106
A858,539.0,18168.0,18707.0,0.028812743892660503
A596,2401.0,22273.0,24674.0,0.09730890816243819
A26,4080.0,13468.0,17548.0,0.23250512878960566
A1047,1026.0,8656.0,9682.0,0.10596984094195414
A1030,6921.0,5599.0,12520.0,0.5527955271565496
A148,3402.0,19871.0,23273.0,0.1461779744768616
A135,4527.0,22133.0,26660.0,0.16980495123780945
A408,2256.0,5011.0,7267.0,0.31044447502408146
A852,5566.0,14266.0,19832.0,0.2806575231948366
A491,4758.0,9087.0,13845.0,0.3436619718309859
A1140,351.0,19759.0,20110.0,0.017454002983590254
A643,2891.0,15593.0,18484.0,0.15640553992642287
A204,1329.0,14452.0,15781.0,0.08421519548824535
A390,775.0,13104.0,13879.0,0.05583975790763023
A273,673.0,15481.0,16154.0,0.04166150798563823
A374,5193.0,12243.0,17436.0,0.2978320715760496
A744,8192.0,9547.0,17739.0,0.46180731721066576
A1002,4340.0,6842.0,11182.0,0.3881237703451976
A430,5206.0,14950.0,20156.0,0.2582853740821592
A989,1190.0,7333.0,8523.0,0.13962219875630646
A447,7481.0,16654.0,24135.0,0.30996478143774603
A967,2801.0,9765.0,12566.0,0.22290307178099633
A1172,971.0,10115.0,11086.0,0.08758794876420711
A983,651.0,18098.0,18749.0,0.034721851832097715
A817,2466.0,11881.0,14347.0,0.17188262354499198
A322,2599.0,19282.0,21881.0,0.1187788492299255
A355,3033.0,17654.0,20687.0,0.14661381543964808
A668,1726.0,12566.0,14292.0,0.1207668625804646
A662,1586.0,11660.0,13246.0,0.11973425939906387
A615,3963.0,17013.0,20976.0,0.18893020594965676
A718,786.0,17521.0,18307.0,0.042934396678866005
A482,3404.0,21323.0,24727.0,0.137663283050916
A841,1619.0,17536.0,19155.0,0.08452101279039416
A836,1154.0,17114.0,18268.0,0.06317057149113203
A1124,1331.0,14775.0,16106.0,0.08264000993418602
A1153,1213.0,13997.0,15210.0,0.07975016436554898
A1029,909.0,15305.0,16214.0,0.05606266189712594
A151,2424.0,24048.0,26472.0,0.09156844968268359
A931,2419.0,11270.0,13689.0,0.17671122799327926
A946,2351.0,10184.0,12535.0,0.187554846429996
A488,8632.0,7113.0,15745.0,0.5482375357256272
A466,2582.0,11232.0,13814.0,0.18691182857970176
A1159,1787.0,17631.0,19418.0,0.09202801524358842
A1023,2719.0,10675.0,13394.0,0.2030013438853218
A757,3490.0,16913.0,20403.0,0.17105327647894916
A367,4531.0,20211.0,24742.0,0.1831299005739229
A217,2169.0,15444.0,17613.0,0.12314767501277465
A383,2679.0,7522.0,10201.0,0.26262131163611413
A627,2266.0,10650.0,12916.0,0.17544131310003097
A1215,1685.0,14933.0,16618.0,0.10139607654350705
A163,1070.0,18573.0,19643.0,0.0544723311103192
A1161,604.0,15777.0,16381.0,0.03687198583725047
A1082,4778.0,5533.0,10311.0,0.46338861410144505
A1116,2094.0,15652.0,17746.0,0.11799842217964612
A990,5736.0,6760.0,12496.0,0.45902688860435337
A429,5303.0,14529.0,19832.0,0.26739612747075436
A1066,3433.0,11388.0,14821.0,0.23163079414344512
A974,746.0,3103.0,3849.0,0.19381657573395686
A423,2294.0,17734.0,20028.0,0.11453964449770322
A454,1513.0,11409.0,12922.0,0.11708713821389878
A169,4771.0,11789.0,16560.0,0.2881038647342995
A113,2232.0,16105.0,18337.0,0.12172111032338986
A1111,779.0,14299.0,15078.0,0.05166467701286643
A803,1497.0,20650.0,22147.0,0.06759380503002664
A459,3104.0,19678.0,22782.0,0.13624791502063033
A997,865.0,13470.0,14335.0,0.0603418207185211
A554,823.0,14862.0,15685.0,0.05247051322919987
A1016,2530.0,9271.0,11801.0,0.2143886111346496
A99,5647.0,14377.0,20024.0,0.282011586096684
A809,2466.0,17736.0,20202.0,0.12206712206712207
A453,3241.0,9283.0,12524.0,0.2587831363781539
A424,2093.0,16624.0,18717.0,0.1118234759843992
A180,6103.0,21017.0,27120.0,0.2250368731563422
A727,2293.0,17649.0,19942.0,0.1149834520108314
A750,2059.0,22805.0,24864.0,0.08281048906048906
A1315,826.0,7437.0,8263.0,0.09996369357376256
A317,3720.0,17128.0,20848.0,0.17843438219493477
A360,3922.0,19910.0,23832.0,0.16456864719704598
A384,1112.0,3674.0,4786.0,0.2323443376514835
A657,3641.0,13968.0,17609.0,0.20676926571639503
A620,1933.0,24479.0,26412.0,0.0731864304104195
A588,2764.0,24787.0,27551.0,0.10032303727632391
A846,1043.0,17741.0,18784.0,0.055525979557069845
A485,3313.0,16048.0,19361.0,0.17111719435979547
A1059,2968.0,17024.0,19992.0,0.1484593837535014
A1154,1481.0,11666.0,13147.0,0.11264927359853959
A156,5131.0,15539.0,20670.0,0.2482341557813256
A121,1051.0,20120.0,21171.0,0.04964338009541354
A461,5878.0,9777.0,15655.0,0.3754710954966464
A941,4237.0,7584.0,11821.0,0.3584299128669317
A936,1242.0,13266.0,14508.0,0.08560794044665013
A1024,3642.0,16036.0,19678.0,0.18507978453094825
A1053,477.0,20058.0,20535.0,0.02322863403944485
A1129,911.0,13539.0,14450.0,0.06304498269896194
A352,386.0,11424.0,11810.0,0.032684165961049956
A1327,862.0,5303.0,6165.0,0.13982157339821574
A762,1303.0,12816.0,14119.0,0.09228698916353849
A1220,5775.0,16729.0,22504.0,0.2566210451475293
A768,1505.0,11887.0,13392.0,0.1123805256869773
A612,762.0,15362.0,16124.0,0.04725874472835525
A665,214.0,18209.0,18423.0,0.011615914888997448
A358,3066.0,5330.0,8396.0,0.3651738923296808
A9,2468.0,7535.0,10003.0,0.2467259822053384
A1108,424.0,15233.0,15657.0,0.027080539056013285
A1005,2211.0,12544.0,14755.0,0.14984750931887494
A883,896.0,21284.0,22180.0,0.040396753832281335
A13,928.0,10054.0,10982.0,0.08450191221999635
A960,1687.0,14212.0,15899.0,0.1061073023460595
A440,2564.0,18201.0,20765.0,0.12347700457500602
A437,11160.0,8213.0,19373.0,0.5760594642027564
A1102,364.0,16668.0,17032.0,0.02137153593236261
A1175,453.0,10346.0,10799.0,0.04194832854893972
A810,5657.0,11804.0,17461.0,0.3239791535421797
A3,2147.0,11074.0,13221.0,0.1623931623931624
A177,3183.0,20072.0,23255.0,0.1368737905826704
A199,3511.0,9154.0,12665.0,0.27722068693249113
A1201,5446.0,10870.0,16316.0,0.3337827898994852
A274,732.0,9356.0,10088.0,0.07256145915939731
A397,4718.0,7401.0,12119.0,0.3893060483538246
A203,4259.0,13708.0,17967.0,0.23704569488506708
A209,944.0,20371.0,21315.0,0.04428806005160685
A373,6550.0,12489.0,19039.0,0.3440306738799307
A639,4512.0,11466.0,15978.0,0.28238828389034926
A734,7792.0,13425.0,21217.0,0.3672526747419522
A743,2355.0,18158.0,20513.0,0.11480524545410227
A1306,893.0,6752.0,7645.0,0.11680837148463048
A952,537.0,9843.0,10380.0,0.051734104046242776
A405,6006.0,7424.0,13430.0,0.4472077438570365
A472,3595.0,20549.0,24144.0,0.14889827700463884
A828,1165.0,16353.0,17518.0,0.06650302545952734
A1037,1257.0,16694.0,17951.0,0.07002395409726478
A1040,976.0,20643.0,21619.0,0.04514547388870901
A138,3431.0,18589.0,22020.0,0.15581289736603088
A145,4824.0,14714.0,19538.0,0.24690347016071246
